DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT11,2021,28100,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT12,2021,33600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT13,2021,46500,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT21,2021,35300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT22,2021,36200,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT31,2021,40900,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT32,2021,46700,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT33,2021,39800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT34,2021,45300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE10,2021,66200,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE21,2021,46900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE22,2021,32300,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE23,2021,36300,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE24,2021,39800,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE25,2021,39000,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE31,2021,46500,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE32,2021,24600,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE33,2021,28000,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE34,2021,24200,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE35,2021,26300,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BG31,2021,12800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BG32,2021,12800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BG33,2021,14000,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BG34,2021,14600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BG41,2021,31100,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BG42,2021,12300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CY00,2021,29400,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CZ01,2021,65800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CZ02,2021,25700,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CZ03,2021,24900,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CZ04,2021,19800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CZ05,2021,24400,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CZ06,2021,27700,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CZ07,2021,24400,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CZ08,2021,23600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE11,2021,49500,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE12,2021,42400,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE13,2021,37000,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE14,2021,42500,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE21,2021,56600,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE22,2021,38100,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE23,2021,41400,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE24,2021,37000,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE25,2021,43600,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE26,2021,38900,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE27,2021,38000,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE30,2021,40200,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE40,2021,28000,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE50,2021,45600,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE60,2021,61900,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE71,2021,48900,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE72,2021,33600,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE73,2021,35000,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE80,2021,27700,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE91,2021,45500,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE92,2021,37000,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE93,2021,27400,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE94,2021,34400,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DEA1,2021,39400,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DEA2,2021,40100,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DEA3,2021,32800,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DEA4,2021,37300,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DEA5,2021,33300,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DEB1,2021,33100,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DEB2,2021,29800,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DEB3,2021,39700,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DEC0,2021,32900,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DED2,2021,30900,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DED4,2021,27800,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DED5,2021,32000,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DEE0,2021,28000,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DEF0,2021,32400,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DEG0,2021,28100,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DK01,2021,57700,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DK02,2021,28800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DK03,2021,37700,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DK04,2021,39000,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DK05,2021,34100,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,EE00,2021,28800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,EL30,2021,27900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,EL41,2021,13500,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,EL42,2021,20900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,EL43,2021,17000,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,EL51,2021,14600,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,EL52,2021,16300,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,EL53,2021,17200,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,EL54,2021,14900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,EL61,2021,16000,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,EL62,2021,18400,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,EL63,2021,15400,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,EL64,2021,21200,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,EL65,2021,18000,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES11,2021,24900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES12,2021,24600,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES13,2021,25100,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES21,2021,34900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES22,2021,32900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES23,2021,28900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES24,2021,30600,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES30,2021,36900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES41,2021,25900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES42,2021,21900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES43,2021,20200,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES51,2021,31700,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES52,2021,23600,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES53,2021,26300,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES61,2021,20000,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES62,2021,22500,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES63,2021,22500,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES64,2021,20400,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ES70,2021,20100,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FI19,2021,32600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FI1B,2021,46400,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FI1C,2021,32300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FI1D,2021,30800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FI20,2021,35400,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FR10,2021,56900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRB0,2021,27900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRC1,2021,27900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRC2,2021,25300,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRD1,2021,26200,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRD2,2021,28400,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRE1,2021,27600,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRE2,2021,24700,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRF1,2021,30700,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRF2,2021,27900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRF3,2021,24600,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRG0,2021,30100,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRH0,2021,29200,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRI1,2021,29900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRI2,2021,25000,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRI3,2021,27500,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRJ1,2021,25600,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRJ2,2021,29300,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRK1,2021,27100,p
