DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRK2,2021,33900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRL0,2021,32300,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRM0,2021,26700,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRY1,2021,21100,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRY2,2021,23500,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRY3,2021,14300,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRY4,2021,21500,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,FRY5,2021,9100,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,HR02,2021,14400,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,HR03,2021,21000,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,HR05,2021,42400,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,HR06,2021,18300,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,HU11,2021,50600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,HU12,2021,19800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,HU21,2021,22700,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,HU22,2021,22100,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,HU23,2021,16600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,HU31,2021,16900,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,HU32,2021,15900,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,HU33,2021,17600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,IE04,2021,27100,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,IE05,2021,84500,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,IE06,2021,77400,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITC1,2021,32600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITC2,2021,39200,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITC3,2021,32800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITC4,2021,41400,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITF1,2021,26300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITF2,2021,22500,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITF3,2021,20100,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITF4,2021,20300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITF5,2021,24500,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITF6,2021,18100,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITG1,2021,18800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITG2,2021,22600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITH1,2021,49100,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITH2,2021,40800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITH3,2021,34500,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITH4,2021,33400,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITH5,2021,37700,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITI1,2021,31900,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITI2,2021,27100,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITI3,2021,29200,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ITI4,2021,35300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,LT01,2021,43100,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,LT02,2021,23200,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,LU00,2021,87100,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,LV00,2021,23300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,ME00,2021,15500,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,MT00,2021,33000,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,NL11,2021,37500,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,NL12,2021,29800,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,NL13,2021,28400,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,NL21,2021,35300,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,NL22,2021,35500,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,NL23,2021,30900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,NL31,2021,52600,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,NL32,2021,54400,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,NL33,2021,41200,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,NL34,2021,35400,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,NL41,2021,43200,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,NL42,2021,37900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL21,2021,23000,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL22,2021,25500,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL41,2021,27000,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL42,2021,20700,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL43,2021,20200,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL51,2021,27900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL52,2021,20000,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL61,2021,20200,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL62,2021,17400,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL63,2021,24400,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL71,2021,23800,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL72,2021,17900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL81,2021,16900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL82,2021,17300,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL84,2021,18100,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL91,2021,53700,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PL92,2021,21700,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PT11,2021,21200,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PT15,2021,24700,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PT16,2021,21500,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PT17,2021,31100,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PT18,2021,22900,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PT20,2021,21300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,PT30,2021,22500,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,RO11,2021,22600,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,RO12,2021,22900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,RO21,2021,15800,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,RO22,2021,19000,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,RO31,2021,18400,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,RO32,2021,53900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,RO41,2021,18700,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,RO42,2021,24300,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,RS11,2021,23300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,RS12,2021,13800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,RS21,2021,9800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,RS22,2021,10300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,SE11,2021,55300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,SE12,2021,33700,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,SE21,2021,33400,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,SE22,2021,34000,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,SE23,2021,37600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,SE31,2021,32100,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,SE32,2021,34900,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,SE33,2021,41100,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,SI03,2021,23900,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,SI04,2021,34900,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,SK01,2021,48200,b
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,SK02,2021,20400,b
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,SK03,2021,18600,b
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,SK04,2021,16400,b
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR10,2021,33200,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR21,2021,26400,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR22,2021,18300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR31,2021,24700,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR32,2021,17200,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR33,2021,17300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR41,2021,22700,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR42,2021,27900,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR51,2021,27600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR52,2021,15700,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR61,2021,18200,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR62,2021,16000,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR63,2021,13600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR71,2021,14000,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR72,2021,15400,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR81,2021,15900,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR82,2021,14800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR83,2021,11900,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TR90,2021,12400,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TRA1,2021,12900,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TRA2,2021,8700,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TRB1,2021,12100,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TRB2,2021,7600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TRC1,2021,14600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TRC2,2021,7200,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,TRC3,2021,10300,
